,brewery,address,city,type,url,,,
0,Norfork Brewing Company,,"Norfork, AR 72658-9630",Type: Planning,,,,
1,The Beer'd Brewing Company,22 Bayview Ave Ste 15,"Stonington, CT 06378-1143 ",Type: Micro,http://www.beerdbrewing.com,,,
2,(405) Brewing Co,1716 Topeka St,"Norman, OK 73069-8224 ",Type: Micro,http://www.405brewing.com,,,
3,(512) Brewing Co,407 Radam Ln Ste F200,"Austin, TX 78745-1197 ",Type: Micro,http://www.512brewing.com,,,
4,10 Barrel Brewing Co,62970 18th St,"Bend, OR 97701-9847 ",Type: Large,http://www.10barrel.com,,,
7,10 Barrel Brewing Co,1501 E St,"San Diego, CA 92101-6618 ",Type: Large,http://10barrel.com,,,
11,101 Brewery,294793 US Highway 101,"Quilcene, WA 98376-9000 ",Type: Brewpub,http://www.101brewery.com,,,
12,101 North Brewing Company,1304 Scott St Ste D,"Petaluma, CA 94954-7100 ",Type: Micro,http://www.101northbeer.com,,,
13,105 West Brewing Co,1043 Park St,"Castle Rock, CO 80109-1585 ",Type: Micro,http://www.105westbrewing.com,,,
14,10K Brewing,2005 2nd Ave,"Anoka, MN 55303-2243 ",Type: Micro,http://10KBrew.com,,,
15,10th District Brewing Company,491 Washington St,"Abington, MA 02351-2419 ",Type: Micro,http://www.10thdistrictbrewing.com,,,
16,11 Below Brewing Company,6820 Bourgeois Rd,"Houston, TX 77066-3107 ",Type: Micro,http://www.11belowbrewing.com,,,
17,1188 Brewing Co,141 E Main St,"John Day, OR 97845-1210 ",Type: Brewpub,http://www.1188brewing.com,,,
18,12 Gates Brewing Company,80 Earhart Dr Ste 20,"Williamsville, NY 14221-7804 ",Type: Micro,http://www.12gatesbrewing.com,,,
19,12 West Brewing Company,3000 E Ray Rd Bldg 6,"Gilbert, AZ 85296-7832 ",Type: Micro,http://www.12westbrewing.com,,,
22,12Degree Brewing,820 Main St,"Louisville, CO 80027-1865 ",Type: Brewpub,http://www.12degree.com,,,
23,12welve Eyes Brewing,141 4th St E Ste LL2,"Saint Paul, MN 55101-1639 ",Type: Micro,http://www.12welveEyes.com,,,
24,13 Below Brewery,7391 Forbes Rd,"Cincinnati, OH 45233-1013 ",Type: Micro,http://www.13belowbrewery.com,,,
25,13 Stripes Brewery,"250 Mill St, Suite PW3101 ","Taylors, SC 29687 ",Type: Brewpub,http://www.13StripesBrewery.com,,,
26,13 Virtues Brewing Co,6410 SE Milwaukie Ave,"Portland, OR 97202-5518 ",Type: Brewpub,http://www.13virtuesbrewing.com,,,
27,1323 R & D,1323 Capital Blvd 1323 R and D,"Raleigh, NC 27603-1117 ",Type: Micro,http://www.1323rnd.com,,,
28,14 Cannons Brewing Company,31125 Via Colinas Ste 907,"Westlake Village, CA 91362-3974 ",Type: Micro,http://14cannons.com,,,
31,14er Brewing Company,2801 Walnut St,"Denver, CO 80205-2235 ",Type: Proprietor,http://www.14erBrewing.com,,,
